Deal ID,Category,Date Announced,Date Completed / Failed,Time to Close (months),Conclusion / Status,Target Full Name,Target Ticker / Exchange,Industry,Acquirer Full Name,Acquirer Listed Exchange,Deal Size (US$ mn),"Deal Size (local, JPY bn unless noted)",Deal Structure,Final Offer Price (local),Initial Offer / Price Bumps,Unaffected Price (local),Premium to Unaffected (%),Board Recommendation,Special Committee,Competing Bid / Interloper,Recurring Attempt by Same Acquirer?,Toehold / Irrevocables / Tender Agreements,Regulator 1,Regulator 2,Regulator 3,Rules / Regulations Triggering Review,Key Debate Points / Frictions,Activism & Hedge Fund Involvement,Final Resolution Mechanism,Squeeze-out Mechanism,Delisting Date,Verification Status,Notes / Follow-ups,Source URL 1 (primary),Source URL 2,Source URL 3,Filing / First Report Date,"Pre-Event Close (T-1, local)","Post-Event Close (T+1, local)",Premium to T-1 Close (%),Market Reaction T+1 (%),Min Tender Condition (Y/N),Min Tender Condition Detail,Fairness Opinion Provider,Financial Advisor (Target),Financial Advisor (Acquirer),Target IPO Lead Underwriter,FEFTA Classification,Financing Description,Break Fee (Y/N),Break Fee Amount,TSE Segment,Index Membership,Founder/Family Ownership %,Key Management Age at Announcement,PBR at Announcement,date_announced_basis
JP-001,Take-private (PE/consortium),2023/03/23,2023/09/20 (TOB completion; delisted 2023/12/20),8.9,Concluded,Toshiba Corporation,6502 JP / TSE Prime,Industrial conglomerate / electronics,"Japan Industrial Partners (JIP)-led consortium (TBJH Inc., 20+ Japanese corporates incl. Orix, Rohm, Chubu Electric)",Unlisted (consortium),13500,2000,"All-cash TOB (¥4,620/sh) + squeeze-out (share consolidation)","¥4,620","¥4,620 (no bump)",TBV (n.m. — 2-yr strategic review; stock traded on deal speculation),≈+9.7% vs pre-announcement (low; TBV),"For (recommended; initially reserved opinion on tendering, later endorsed)",Yes (Special Committee since 2022 strategic review),"Prior interest from CVC (2021), Bain/others in 2022 process; JIP selected as preferred bidder Oct 2022",No,No toehold; key activists indicated support/tendered,JFTC (Japan),"Multiple foreign antitrust (EU, China SAMR, others)",METI (informal; national-security-sensitive businesses),"FIEA TOB rules; merger control in 10+ jurisdictions; FEFTA sensitivities (nuclear, defense, semiconductors) shaped all-domestic consortium","Endgame of 2015 accounting scandal & 2017 dilutive PIPE that let activists in; price seen low vs CVC's 2021 ~¥5,000 interest; board-activist standoff; failed spin-off plans (3-way/2-way split voted down)","Effissimo (~9.9%), Farallon, Elliott, 3D Investment, King Street et al. — activist register was the deal's raison d'être; activists tendered",TOB succeeded (78.65% tendered); squeeze-out; delisted 20 Dec 2023 after 74 years,Share consolidation (kabushiki heigō),2023/12/20 (EGM 2023/11/22; share consolidation effective 2023/12/22),Verified via primary sources (backfill 2026/07/06),"Largest Japan take-private at the time; template for 'activist-exit via consortium TOB' || BACKFILL 2026/07/06: TOB (TBJH Inc.) 2023/08/08–2023/09/20 at ¥4,620, 78.65% tendered; ≈¥2tn ($13.5–14bn). Rare reverse break fee negotiated (near-unique in Japan; cf. Toshiba Memory/Bain); >20-company consortium (JIP + Orix, Rohm, Chubu Electric et al.) structured to minimize merger/FDI filings — clearances in ~6 months. Ends the 2015 accounting scandal → activist-register → strategic-review arc.",https://www.global.toshiba/ww/ir/corporate/tender-offer.html,https://xbma.org/japanese-update-japans-largest-ma-transaction-in-2023-the-acquisition-of-toshiba-corporation/,https://www.investing.com/news/stock-market-news/toshiba-shareholders-approve-delisting-and-jip-takeover-93CH-3240684,2023/03/23 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,Yes,Seeded from cited row text: min 6 months,"UBS share-valuation range used by special committee — NOTE: ¥4,620 TOB price was BELOW UBS's low end; SC accepted as 'best available after fully competitive process'",Nomura Securities; J.P. Morgan; UBS Securities Japan (+ Mizuho added 2022) — per deal summary/contemporaneous reports,Crosspoint Advisors (to JIP),TBV,FEFTA-reviewed (class TBV),≈$10.6bn loan commitments from major Japanese banks + consortium equity (JIP funds + 17 corporates + 6 financial institutions),Yes,"Seeded: reverse break fee negotiated (near-unique in Japan; cf. Toshiba Memory/Bain); >20-company consortium (JIP + Orix, Roh",TSE Prime,"Nikkei 225 constituent (confirmed, per TOB commencement notice) + TOPIX",n/a (no founder block),TBV,TBV,formal_announcement
JP-002,Take-private (state-backed fund),2023/06/26,2024/06/25,12.0,Concluded,JSR Corporation,4185 JP / TSE Prime,Semiconductor materials (photoresists),JIC Capital (Japan Investment Corporation),Unlisted (government-backed fund),6300,903.9,"All-cash TOB (¥4,350/sh) + squeeze-out","¥4,350","¥4,350 (no bump)","TBV (~¥3,220 pre-leak)","+34.5% one-day (vs pre-report); +28.77% vs 2023/06/15 close ¥3,378 (per offeror final proposal)",For,Yes,None public,No,,JFTC (Japan),China SAMR (delayed launch ~9 months),Other foreign antitrust/FDI,FIEA TOB; multi-jurisdiction merger control; industrial-policy screening abroad of a Japan state-backed buyer,Government-led consolidation of chip materials; concerns re state fund crowding out private capital; long gap between announcement (Jun 2023) and TOB launch (Mar 2024) due to China clearance; arbitrage timeline risk,No activist campaign; event-driven funds carried extended timeline risk,TOB completed Jun 2024; squeeze-out; delisted (TBV exact date),Share consolidation,2024/06/25,Verified via primary sources (backfill 2026/07/06),"Signature 'economic security' take-private; SAMR risk case study || BACKFILL 2026/07/06: TOB 2024/03/19–04/16 (commencement delayed ~9 months for China SAMR clearance); 175,272,231 sh tendered vs min 138,507,100 (84.36% acceptance, <90%) → EGM 2024/06/05 approved share consolidation; delisted 2024/06/25; merged into JICC-02 2024/12/01. Premium to unaffected still TBV.",https://www.jiccapital.co.jp/en/news/.assets/E_20240417_JIC_JICC_PressRelease.pdf,https://www.jsr.co.jp/jsr_e/news/assets/pdf/20240624_01_e.pdf,https://www.solactive.com/announcements/36757,2023/06/24 (Nikkei first report; formal announcement 2023/06/26 — leak override per Manalo/JIC filings),TBV,TBV,TBV,TBV,Yes,"138,531,400 shares = 66.67% (per offeror filing/deal summary)",Share valuation reports from Mizuho Securities and Mitsubishi UFJ Morgan Stanley; special committee of 4 external directors,"Mizuho Securities + Mitsubishi UFJ Morgan Stanley (FAs & third-party valuers, retained Dec 2022); legal: Anderson Mori & Tomotsune (+ Shearman & Sterling cross-border)",J.P. Morgan (to JIC Capital); tender agent: Nomura Securities,TBV,TBV,TBV,TBV,TBV,TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,n/a (no founder block),TBV,TBV,leak (Nikkei report 2023/06/24); formal announcement 2023/06/26
JP-003,Minority squeeze-out (parent buy-in),2023/05/12,2023/09/28,4.6,Concluded,Shinsei Bank (SBI Shinsei Bank),8303 JP / TSE Standard,Banking,SBI Holdings (via SBI Regional Bank Holdings) + public-sector holders retained,TSE Prime (8473),1100,154.2,"TOB for minorities (¥2,800/sh) + squeeze-out; DICJ/RCC public-fund stakes stayed","¥2,800",TBV,TBV,TBV (~+45% vs undisturbed; TBV),For,Yes,,"Yes — SBI took control via 2021 hostile-ish TOB, then squeezed out minorities 2023",SBI ~50.05% pre-deal,FSA (Japan),JFTC,—,Banking Act approvals; FIEA TOB; fairness of squeeze-out price with public funds (¥350bn) still outstanding,Repayment path for 1990s public funds; minority price fairness after SBI's below-book creep; delisting of a bank with unresolved state money,Prior activist-era register largely gone; some funds contested price via appraisal (TBV),Squeeze-out completed; delisted Sep 2023,Share consolidation,2023/09/28,Verified via primary sources (backfill 2026/07/06),"Rare bank delisting; sequel to 2021 SBI unsolicited TOB || BACKFILL 2026/07/06: TOB ¥2,800 for 55,072,084 sh (26.98%), NO minimum condition (rationale: DICJ ~22.98% + RCC not tendering; anti-obstruction); closed 2023/06/23, SBI 50.04%→53.74%; EGM 2023/09/01 approved share consolidation (govt holders remain); delisted 2023/09/28. Public-funds repayment (~¥349bn) driver. Premium to unaffected still TBV.",https://corp.sbishinseibank.co.jp/en/news/news/auto_20230515571948/pdfFile.pdf,https://www.jpx.co.jp/english/news/1023/20230901-11.html,https://www.nippon.com/en/news/yjj2023090100478/,2023/05/12 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,Yes,"Seeded from cited row text: min 2,800/sh) + squeeze-out",TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TSE Standard,TBV,TBV,TBV,TBV,formal_announcement
JP-004,Unsolicited/consentless TOB (domestic strategic),2023/07/13,2023/11/13 (TOB close; settlement ~2023/11/20),4.0,Concluded,"Takisawa Machine Tool Co., Ltd.",6121 JP / TSE Standard,Machine tools,Nidec Corporation,TSE Prime (6594),≈110,16.6,"TOB launched without prior board consent (¥2,600/sh); board later supported","¥2,600 (no bump)","¥2,600 (no bump)","≈¥1,285 (TBV)",≈+100% (approx. 2x; TBV),Initially not solicited → For (board endorsed after review),Yes (formed to assess 'bona fide offer'),None emerged,"No (but part of Nidec's serial machine-tool M&A: OKK, TAKISAWA, later Makino attempt)",,JFTC,—,—,First high-profile application of METI Corporate Takeover Guidelines (Aug 2023): duty of board to 'sincerely consider' bona fide offers,Legitimacy of consentless bids in Japan; 2x premium made rejection untenable; watershed normalizing unsolicited offers,None material,Board recommended; TOB succeeded Nov 2023; squeeze-out,Share consolidation,2024 (TBV),Verified via primary sources (backfill 2026/07/06),"Proof-of-concept for the METI 2023 guidelines || BACKFILL 2026/07/06: consentless proposal 2023/07/13; FIRST APPLICATION of METI Aug-2023 Takeover Guidelines — Takisawa board/special committee accepted the 'bona fide offer' 2023/09/13 without defenses; TOB 2023/09/14–11/13; 5,502,183 sh → 86.14% of voting rights; squeeze-out to 100% by Feb 2024. Nidec had approached Takisawa before (2022 friction). Note: below the $100mn nominal floor at some FX — retained under precedent-value override (C1/C2).",https://www.nidec.com/en/corporate/news/2023/news1120-01/,https://xbma.org/japanese-update-a-pioneering-unsolicited-takeover-in-japan-nidecs-2023-acquisition-of-takisawa/,https://www.marketscreener.com/quote/stock/TAKISAWA-MACHINE-TOOL-CO--6495788/news/Nidec-Corporation-completed-the-acquisition-of-Takisawa-Machine-Tool-Co-Ltd-from-a-group-of-share-45512703/,2023/07/13 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TSE Standard,TBV,TBV,TBV,TBV,formal_announcement
JP-005,"Subsidiary divestiture (PE, special situation)",2022/11/11,2023/09/01 (closing),9.7,Concluded,"Sogo & Seibu Co., Ltd. (Seven & i department-store unit)",Unlisted (parent 3382 JP),Department stores / retail real estate,Fortress Investment Group (with Yodobashi Camera as anchor real-estate partner),Unlisted (SoftBank-affiliated at the time),≈1500,220 (reduced from agreed 250; + ≈91.6 debt waiver by Seven & i),Share sale of unlisted subsidiary; EV ¥220bn (equity portion nominal after debt/price adj.),n/a (private sale),,,,Seven & i board approved (contested internally),No (parent-level decision),Auction (multiple PE bidders),No,,JFTC,—,—,"Merger control; labor-relations dimension (first Japan department-store strike in 61 years, Ikebukuro, 31 Aug 2023, day before closing)",ValueAct pressure on Seven & i portfolio; Yodobashi's role at flagship Ikebukuro; price cut renegotiation; union opposition,ValueAct campaign at parent was proximate catalyst for divestiture program,Closing 1 Sep 2023 despite strike; asset subsequently restructured,,,Verified via primary sources (backfill 2026/07/06),"Included as a landmark special situation triggered by activism at listed parent || BACKFILL 2026/07/06: agreement announced 2022/11/11; closing delayed repeatedly by union/local-government opposition; 2023/08/31 one-day strike at Seibu Ikebukuro (~900 workers) — first major department-store strike in ~61 years; Seven & i board affirmed sale same day, price cut ¥250bn→¥220bn with employment-consideration commitments; closed 2023/09/01. Fortress+Yodobashi structure (real estate to Yodobashi, reported ≈¥300bn). Labor-as-deal-friction landmark; node in the Seven & i portfolio-restructuring arc (ValueAct JP-013 → Couche-Tard JP-027 → York JP-045).",https://finance.yahoo.com/news/japans-sogo-seibu-department-stores-080734124.html,https://www.nbcnews.com/news/world/workers-strike-japan-protest-department-store-sale-rcna102696,https://www.axios.com/2023/08/31/foetress-seibu-sogo-strike-seveni-worker-union,2022/11/11 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,Unlisted,TBV,TBV,TBV,TBV,formal_announcement
JP-006,Competing TOBs (first modern bidding war),2023/11/14,2024/05/15,6.0,Concluded,Benefit One Inc.,2412 JP / TSE Prime,HR benefits platform,"Dai-ichi Life Holdings (winner); M3 Inc. (initial bidder, withdrew)",TSE Prime (8750 winner; 2413 loser),"≈2,000 (Bloomberg: 'Dai-ichi Life Buys Benefit One for $2 Billion')",285,Counter-TOB + acquisition of Pasona's ~51% stake; structure adjusted so Pasona exited via tender/dividend mechanics,"¥2,173 (Dai-ichi Life, winning); M3 stayed at ¥1,600","M3 ¥1,600 (2023/11, Pasona agreement) → Dai-ichi counter ¥1,800 (2023/12/07) → ¥2,123 → ¥2,173 final (2 bumps by Dai-ichi); M3 extended but never raised",TBV,TBV (>+60% vs pre-M3 bid; TBV),For (switched support from M3 to Dai-ichi),Yes,Yes — live auction dynamic between M3 and Dai-ichi (Dec 2023–Feb 2024),No,"Pasona (parent, 51.16%) — original tender agreement with M3, terminated 2024/02 in favor of Dai-ichi; Pasona block excluded from Dai-ichi TOB, exiting via separate post-squeeze-out route",JFTC,FSA (insurer acquirer),—,FIEA TOB competing-offer mechanics; board neutrality/fiduciary duty under METI guidelines; equal treatment concerns re parent exit route,First true public bidding war of the reform era; tax-efficient exit for Pasona questioned vs minority treatment; insurer diversification logic,Event-driven funds active in spread; no named activist campaign,M3 withdrew Feb 2024; Dai-ichi TOB completed; squeeze-out May 2024 (TBV),Share consolidation,"2024/05/20 (JPX; EGM 2024/04/26 — resolves prior TBV, per Solactive)",Verified via primary sources (backfill 2026/07/06),"Opened the era of interloper risk in Japan TOBs || BACKFILL 2026/07/06: the landmark interloper case — unsolicited insurer counter-bid beat an agreed TOB, breaking Japan's first-come-first-served norm (Nikkei). Dai-ichi TOB 2024/02/09–2024/03/11 at ¥2,173; board switched recommendation to Dai-ichi (special committee report). Dai-ichi ~¥285bn total (TBV exact); no Dai-ichi pre-stake (sub 0.24% via life unit).",https://www.daiichilife-group.com/en/investor/news/assets/pdf/2023_index_030.pdf,https://www.japantimes.co.jp/business/2024/02/08/companies/daiichi-pasona-nod-benefit-one-acquisition/,https://asia.nikkei.com/announcements/benefit-one-to-be-removed-from-jpx-nikkei-index-400,2023/11/14 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,Yes,"Dai-ichi TOB excluded Pasona's 51.16% (81,210,400 sh, 'Shares to be Sold' via separate route); acceptance 51.44% of remainder (per Solactive/offeror releases)",TBV,TBV,"Legal: Nishimura & Asahi (to Dai-ichi Life, per N&A deal record); target FA TBV (in target 2024/02/08 opinion release — next pass)",TBV,TBV,TBV,TBV,TBV,TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,TBV,TBV,TBV,formal_announcement
JP-007,MBO (founder family),2023/11/24,2024/04/09,4.5,Concluded,Taisho Pharmaceutical Holdings,4581 JP / TSE Standard,Pharmaceuticals (OTC),Otemon Co. (Uehara family vehicle),Unlisted (family SPC),4800,710.9,"MBO via all-cash TOB (¥8,620/sh) + squeeze-out; largest MBO in Japan history at announcement","¥8,620","¥8,620 (no bump)","≈¥5,540 (TBV)","≈+55% (to pre-announcement price, per Oasis/Reuters; below book value)",For,Yes,None public,No,Founding family/related holders >1/3 pre-deal (per Oasis statement); offeror president Shigeru Uehara 1.26% direct + options; precise family total TBV,JFTC,—,—,FIEA TOB; MoM condition not adopted (criticized); METI guidelines fairness measures,Founding Uehara family MBO (Akira/Shigeru/Ken Uehara continuing to manage) at ~55% premium but ~15% BELOW book value; SC composition and excess-cash treatment attacked by Curi RMB under METI Fair M&A Guidelines; Oasis appraisal threat — THE below-book MBO fairness exhibit,"Oasis Management (weighing appraisal/breach-of-duty action, 2024/03) + Curi RMB Capital (voted AGAINST at EGM: intrinsic value ≥ BVPS ¥10,132 at 2023/09/30; offer ~15% below book; excess cash/securities allegedly under-counted; METI-guidelines SC-composition critique)",TOB succeeded; squeeze-out; delisted Apr 2024 (TBV),Share consolidation,2024/04 (index removal 2024/04/09; share consolidation effective 2024/04/10),Verified via primary sources (backfill 2026/07/06),"Poster child for sub-book MBO controversy || BACKFILL 2026/07/06: MBO announced 2023/11/24; TOB (Otemon) 2023/11/27–2024/01/15, 73.12% acceptance (below 90%), settlement 2024/01/19; EGM Mar 2024 → share consolidation effective 2024/04/10. Oasis announced 2024/03/08 it was weighing appraisal (Art.172) or breach-of-duty action — family gained ~73% at 55% premium but below book. Appraisal docket outcome: follow up.",https://www.taisho.co.jp/content/dam/corporate-site/jp/en/news/2024/20240116-1.pdf,https://www.solactive.com/acquisition-taisho-pharmaceutical-holdings-co-ltd-9th-april-2024/,https://asia.nikkei.com/business/pharmaceuticals/japan-s-taisho-pharma-to-go-private-after-successful-tender-offer,2023/11/24 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,TBV,TBV,TBV,"DC Advisory (FA to Taisho, per deal record); Daiwa Securities provided due diligence",TBV,TBV,TBV,"Squeeze-out fraction payments funded by Sumitomo Mitsui Banking Corp loans (per EGM convocation notice); MBO vehicle Otemon (Shigeru Uehara, president)",TBV,TBV,TSE Standard,TBV,TBV,TBV,"Offer ¥8,620 ≈ 0.85x BVPS ¥10,132 (2023/09/30, per Curi RMB); implied pre-offer price ≈0.55x book — derived from cited figures",formal_announcement
JP-008,MBO (founder family + PE),2023/11/10,2024/03/04 (TOB completion; delisted 2024/05/17),6.6,Concluded,Benesse Holdings,9783 JP / TSE Prime,Education / nursing care,Fukutake family + EQT (BPEA),EQT: STO listed; SPC unlisted,1400,208.2,"MBO via TOB (¥2,600/sh) + squeeze-out","¥2,600 (no bump)","¥2,600",TBV,"+45.13% to close of ¥1,791.5 on 2023/11/09 (per offeror/advisors)",For,Yes,None public,No,"Founding family group (efu Investments, Fukutake Foundation, family relatives) rolling into offeror structure (Bloom 1/Bloom 2 K.K. with EQT BPEA Fund VIII); family relatives' stakes itemized in target release",JFTC,Foreign antitrust (EQT) (TBV),—,FIEA TOB; conflicted-MBO fairness framework (rollover shareholder),Structural decline of core Shinkenzemi business; fairness with family rollover; first big EQT Japan P2P,None named,TOB + squeeze-out; delisted May 2024 (TBV),Share consolidation,2024/05/17,Verified via primary sources (backfill 2026/07/06),"BACKFILL 2026/07/06: announced 2023/11/10; pre-conditional MBO (Japan + China competition clearances, FEFTA); TOB 2024/01/30–2024/03/04, 70.21% acceptance; squeeze-out; TOB value ≈¥208bn ($1.37bn), total equity ≈¥270bn; ADR holders included at ¥2,600 equivalent.",https://www.benesse-hd.co.jp/en/ir/doc/library/Vx5a.pdf,https://www.businesswire.com/news/home/20240304212177/en/Bloom-1-K.K.-Announcement-of-the-Results-of-Tender-Offer-for-Benesse-Holdings-Inc.-Securities-Code-9783,https://www.solactive.com/acquisition-benesse-holdings-inc-ord-17th-may-2024/,2023/11/10 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,FEFTA-reviewed (class TBV),TBV,TBV,TBV,TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,TBV,TBV,TBV,formal_announcement
JP-009,MBO (PE-backed),2023/12/08,2024/03/27 (TOB completion),,Concluded,Outsourcing Inc.,2427 JP / TSE Prime,HR / staffing,Bain Capital (management participation),Unlisted,1500,214.2,"TOB (¥1,755/sh) + squeeze-out","¥1,755 (no bump)","¥1,755",TBV,≈+52% (per Smartkarma at announcement; formal unaffected reference TBV),For,Yes,None public,No,Chairman/CEO Haruhiko Doi (12.54%) tendering then reinvesting; post-deal Bain up to 95%; min tender 83.9mn shares,JFTC,European Commission — EU Foreign Subsidies Regulation (FSR),Other foreign clearances,First Japanese LBO materially delayed by EU FSR notification — TOB launch pushed back ~2 months; FIEA TOB,EU FSR as new gating item for global sponsors; compliance issues at target pre-deal,None named,TOB completed 2024 after FSR clearance; squeeze-out; delisted 2024 (TBV exact dates),Share consolidation,2024 (TBV),Verified via primary sources (backfill 2026/07/06); delisting date still TBV,"Key precedent: add EU FSR to Japan deal checklists || BACKFILL 2026/07/06: announced 2023/12/08; MBO context = accounting-irregularity probes (FY2019–22 overstatements). FIRST JAPAN LBO NOTIFIED UNDER EU FOREIGN SUBSIDIES REGULATION — K.K. BCJ-74 prior notification to EC 2024/01/17, clearance ~late Feb 2024; TOB completed 2024/03/27, squeeze-out followed. ¥221.13bn ($1.53bn). || ADVISOR PASS 2026/07/12: full slate confirmed via MarketScreener completion notice.",https://www.baincapital.com/news/statement-bain-capital-private-equity-regarding-outsourcing-inc,https://www.outsourcing.co.jp/en/ir/news/2024/20240328,https://uk.marketscreener.com/quote/stock/OUTSOURCI-11193882/news/Bain-Capital-Private-Equity-LP-and-Haruhiko-Doi-completed-the-acquisition-OUTSOURCING-Inc-from-Har-46316920/,2023/12/08 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,Yes,83.9 million shares minimum (per MarketScreener completion notice),TBV,"Nomura Securities + Plutus Consulting Co., Ltd. (FA & fairness-opinion provider to Outsourcing); legal: Mori Hamada & Matsumoto",Mitsubishi UFJ Morgan Stanley Securities (FA to Bain),TBV,TBV,TBV,TBV,TBV,TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,TBV,TBV,TBV,formal_announcement
JP-010,"Take-private (state-backed consortium, carve-out of listed sub)",2023/12/12,2025/03/18 (TOB completion; delisted 2025/06/06),13.7,Concluded,Shinko Electric Industries,6967 JP / TSE Prime,Semiconductor packaging/substrates,JIC Capital + Dai Nippon Printing + Mitsui Chemicals consortium,JIC unlisted; DNP 7912 JP; Mitsui Chem 4183 JP,4700,684.9,"TOB for minorities (¥5,920/sh) + Fujitsu (50%) selling into scheme; squeeze-out","¥5,920 (no bump)","¥5,920",TBV,TBV,For,Yes,None public,No,"Fujitsu (50.02%) excluded from TOB, exiting via separate agreed route; offeror JICC-04 held zero shares; post-contribution split JICC funds 80% / DNP 15% / Mitsui Chemicals 5% (+Hachijuni regional fund)",JFTC,China SAMR (long delay; TOB launch pushed to Aug 2024),Other foreign antitrust,Multi-jurisdiction merger control on semiconductor asset; economic-security overlay,Another JIC chip-supply-chain deal; SAMR timing risk priced by arbs; Fujitsu portfolio exit,None named,TOB completed; squeeze-out; delisted Jan 2025 (TBV),Share consolidation,2025/06/06 (cash to squeezed-out holders from 2025/08/29),Verified via primary sources (backfill 2026/07/06),"Pair with JSR as SAMR-risk case studies || BACKFILL 2026/07/06: announced 2023/12/12; ¥684.9bn ($4.7bn); TOB delayed ~6 months beyond original late-Aug 2024 target by China SAMR and Vietnam reviews (Japan & Korea cleared early) — with JSR, the exhibit for China-clearance timeline risk on JIC deals; TOB 2025/02/18–2025/03/18; squeeze-out via share consolidation. || XREF: part of the FUJITSU PORTFOLIO-TRANSFORMATION FAMILY — see JP-056 (Fujitsu General/Paloma Rheem) and JP-110 (FDK/Silitech partial TOB).",https://www.jiccapital.co.jp/en/news/.assets/E_20250319_JIC_JICC_PressRelease.pdf,https://www.shinko.co.jp/english/ir/faq/,https://www.mlex.com/mlex/articles/2101725/jic-s-acquisition-of-shinko-electric-to-be-delayed-due-to-ongoing-reviews-in-china-vietnam,2023/12/12 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,Yes,"Seeded from cited row text: min 5,920/sh) + Fujitsu (50%) selling into scheme",MUMSS third-party valuation (per JIC filing); special committee process documented,Mitsubishi UFJ Morgan Stanley (FA & third-party valuer) + SMBC Nikko Securities (FA); legal: Nishimura & Asahi — per JIC filing,TBV,TBV,TBV,TBV,TBV,TBV,TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,TBV,TBV,TBV,formal_announcement
